Purchaser,Copies Ordered
Markew Miller,10.0
F. J. Ward,11.0
Pied Piper,11.0
Hudson,11.0
Mewzies Glasgow ,12.0
"Truslove, Sloane St.",12.0
"Mewzies, Edinburgh",12.0
Days Library,12.0
Glaisher Wig,12.0
Porgressive,12.0
Thin,12.0
Truslove Sloane St.,12.0
Mudies ,12.0
Mamzen,12.0
"W. H. Smith, Paris",12.0
J. Smith,12.0
Green Frog,12.0
Mawson Swan,12.0
Bellhouse,12.0
Denny,12.0
Jackson Wylie,12.0
Bermuda Bk Stores,12.0
Walker Bros,12.0
Miller & Gill,12.0
Jones & Evans,12.0
Smith,12.0
Wm. Jackson,12.0
A. B. Ward,12.0
Gibb & Taylor,12.0
Students Bookshop,12.0
Students,12.0
Williams,13.0
Zabel,13.0
Ward,13.0
Philip Son,14.0
George & Barron,14.0
Thacker,14.0
Boots  ,15.0
Argosy (Liverpool),15.0
Holmes Glasgow,15.0
Argosy (L'pool),15.0
United Book & Stat,16.0
Karl Buchholz,16.0
Woolston,17.0
Friends,18.0
Menzies Edinburgh,18.0
W. H. Smith (Paris),18.0
"Menzies, Edinburgh",18.0
Cumard,18.0
Book Socy.,18.0
Mullan,18.0
Heywood,18.0
Tunies,20.0
Lamley,22.0
Pym & Chapman,23.0
Marlborough,23.0
Galignani,23.0
Deighton Bell,23.0
J. Clark,23.0
Cleverdon,24.0
Varda,24.0
Menzies Glasgow,24.0
Harrods (Dept 259),25.0
Robertson & Mullen,25.0
Otto Ulbrich Co.,25.0
Shakespeare,25.0
"Broadhurst, S'port",25.0
Truslove Clifford,25.0
Simpkins (Export),25.0
Eaton (Toronto),25.0
Simpkins (Overseas),26.0
Toronto Public Lib.,26.0
Elkin Mathews,27.0
Maruzen,27.0
Bain,28.0
Bickers,28.0
Zwemmer,30.0
Army & Navy,32.0
Dulan,33.0
Aki Shoten,33.0
Harrods,33.0
Goulden & Curry,34.0
Mewzies Edinburgh,36.0
Brentanos,36.0
Bowes & Bowes,36.0
Bowes,36.0
Birrell & Garrett,37.0
Dawsons,41.0
Selfridge,44.0
Whitcombe,45.0
